Course,Course_link,Credential,Length,Area of Interest,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams,TOEFL
Bachelor of Information Technology (Information Resource Management) (Co-op),https://www.algonquincollege.com/healthandcommunity/program/bit-information-resource-management/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Information Technology (Information Resource Management) (Co-op),https://www.algonquincollege.com/healthandcommunity/program/bit-information-resource-management/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Information Technology (Interactive Media Design) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bit-interactive-multimedia-and-design/,Degree,Full-time\nOn Campus\n4 Years,Arts and Design,6.5,115,60,70,176,88
Bachelor of Information Technology (Interactive Media Design) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bit-interactive-multimedia-and-design/,Degree,Full-time\nOn Campus\n4 Years,Arts and Design,6.5,115,60,70,176,88
Bachelor of Information Technology (Network Technology) (Co-op),https://www.algonquincollege.com/sat/program/bit-network-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Information Technology (Optical Systems and Sensors) (Co-op),https://www.algonquincollege.com/sat/program/bit-photonics-and-laser-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/,Honours Degree,Full-time\nOn Campus\n4 Years,Arts and Design,6.5,115,60,70,176,88
Bachelor of Interior Design (Honours) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/,Honours Degree,Full-time\nOn Campus\n4 Years,Arts and Design,6.5,115,60,70,176,88
Illustration and Concept Art,https://www.algonquincollege.com/mediaanddesign/program/illustration-and-concept-art/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Arts and Design,6,105,53,60,169,80
Information Technology Support,https://www.algonquincollege.com/sat/program/information-technology-support-part-time/,College Certificate,Part-time\nOn Campus,Advanced Technology,6,105,53,60,169,80
Interactive Media Design (Co-op and Non Co-op Version),https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Arts and Design,6,105,53,60,169,80
Interactive Media Design,https://www.algonquincollege.com/international/program/interactive-media-design-north-york/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Arts and Design,6,105,53,60,169,80
Interactive Media Management,https://www.algonquincollege.com/mediaanddesign/program/imm/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Arts and Design,6.5,115,60,70,176,88
Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version),https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Arts and Design,6.5,115,60,70,176,88
Interior Decorating,https://www.algonquincollege.com/mediaanddesign/program/interior-decorating/,Ontario College Diploma,Full-time\nOn Campus\n2 Year,Arts and Design,6,105,53,60,169,80
International Business Management,https://www.algonquincollege.com/international/program/international-business-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
International Business Management,https://www.algonquincollege.com/international/program/international-business-management-north-york/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
International Business Management,https://www.algonquincollege.com/business/program/international-business-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
Introduction to Canadian Healthcare Studies,https://www.algonquincollege.com/healthandcommunity/program/introduction-to-canadian-health-studies/,College Certificate,Full-time\nOn Campus\n14 Weeks,Health Sciences,6,105,53,60,169,80
Introduction to Canadian Healthcare Studies,https://www.algonquincollege.com/perth/program/introduction-to-canadian-healthcare-studies/,College Certificate,Full-time\nOn Campus\n14 Weeks,Health Sciences,6,105,53,60,169,80
Journalism,https://www.algonquincollege.com/mediaanddesign/program/journalism/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Media and Communications,6,105,53,60,169,80
Labour Relations,https://www.algonquincollege.com/online/program-info/labour-relations-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Law Clerk (Intensive),https://www.algonquincollege.com/business/program/law-clerk-intensive/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Public Safety and Legal Studies,6,105,53,60,169,80
Law Clerk,https://www.algonquincollege.com/business/program/law-clerk/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Public Safety and Legal Studies,6,105,53,60,169,80
Leadership Development Series,https://www.algonquincollege.com/online/program-info/leadership-development-series-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Learning Analytics,https://www.algonquincollege.com/online/program-info/learning-analytics-part-time/,College-approved Certificate,Part-time\nOnline,Community and Social Services,6,105,53,60,169,80
Library and Information Technician,https://www.algonquincollege.com/healthandcommunity/program/library-and-information-technician/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Bachelor of Commerce (Marketing) (Honours)(Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-marketing-honours/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Manufacturing Engineering Technician,https://www.algonquincollege.com/sat/program/manufacturing-engineering-technician/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Advanced Technology,6,105,53,60,169,80
Marketing Management,https://www.algonquincollege.com/business/program/marketing-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
Marketing Research and Analysis (Co-op and Non Co-op Version),https://www.algonquincollege.com/business/program/marketing-research-and-analysis/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
Massage Therapy,https://www.algonquincollege.com/healthandcommunity/program/massage-therapy/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Health Sciences,6,105,53,60,169,80
Mechanical Engineering Technology (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Advanced Technology,6,105,53,60,169,80
Mechanical Techniques - Plumbing,https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Construction and Skilled Trades,6,105,53,60,169,80
Medical Device Reprocessing,https://www.algonquincollege.com/healthandcommunity/program/medical-device-reprocessing/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Medical Radiation Technology,https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Health Sciences,6,105,53,60,169,80
Medical Transcription,https://www.algonquincollege.com/online/program-info/medical-transcription-part-time/,College-approved Certificate,Part-time\nOnline,Health Sciences,6,105,53,60,169,80
Military Arts and Science,https://www.algonquincollege.com/online/program-info/military-arts-and-science-part-time/,Ontario College Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Mobile and Web User Experience Design,https://www.algonquincollege.com/online/program-info/mobile-and-web-user-experience-design-part-time/,College-approved Certificate,Part-time\nOnline,Arts and Design,6,105,53,60,169,80
Mobile Application Design and Development,https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Arts and Design,6,105,53,60,169,80
Motive Power Fundamentals - Automotive Service Apprenticeship,https://www.algonquincollege.com/sat/program/motive-power-fundamentals-automotive-service-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Transportation,6,105,53,60,169,80
Motive Power Technician - Diesel Equipment and Truck,https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Transportation,6,105,53,60,169,80
Motive Power Technician,https://www.algonquincollege.com/sat/program/motive-power-technician/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Transportation,6,105,53,60,169,80
Motive Power Techniques - Truck and Coach Apprenticeship,https://www.algonquincollege.com/sat/program/motive-power-techniques-truck-and-coach-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Transportation,6,105,53,60,169,80
Music Industry Arts,https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Media and Communications,6,105,53,60,169,80
"Music, Media and Film Foundations",https://www.algonquincollege.com/mediaanddesign/program/music-media-and-film-foundations/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Media and Communications,6,105,53,60,169,80
Bachelor of Information Technology (Network Technology) (Co-op),https://www.algonquincollege.com/sat/program/bit-network-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Science in Nursing,https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-science-in-nursing/,Degree,Full-time\nOn Campus\n4 Years,Health Sciences,6.5,115,60,70,176,88
Bachelor of Science in Nursing,https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/,Degree,Full-time\nOn Campus\n4 Years,Health Sciences,6.5,115,60,70,176,88
Nursing Unit Clerk,https://www.algonquincollege.com/online/program-info/nursing-unit-clerk-part-time/,College-approved Certificate,Part-time\nOnline,Health Sciences,6,105,53,60,169,80
Bachelor of Information Technology (Optical Systems and Sensors) (Co-op),https://www.algonquincollege.com/sat/program/bit-photonics-and-laser-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Occupational Safety and Health,https://www.algonquincollege.com/online/program-info/occupational-safety-and-health-part-time/,College-approved Certificate,Part-time\nOnline,Public Safety and Legal Studies,6,105,53,60,169,80
Occupational Therapist Assistant and Physiotherapy Assistant,https://www.algonquincollege.com/healthandcommunity/program/occupational-therapist-assistant-physiotherapist-assistant/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Health Sciences,6,105,53,60,169,80
Office Administration - Executive (Co-op and Non Co-op Version),https://www.algonquincollege.com/business/program/office-administration-executive/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Office Administration - Executive,https://www.algonquincollege.com/pembroke/program/office-administration-executive/,Ontario College Diploma,Full-time\nOn Campus\n43 Weeks,Business,6,105,53,60,169,80
Office Administration - Executive,https://www.algonquincollege.com/online/program-info/office-administration-executive/,Ontario College Diploma,Full-time\nOnline,Business,6,105,53,60,169,80
Office Administration - Executive,https://www.algonquincollege.com/online/program-info/office-administration-executive-part-time/,Ontario College Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Office Administration - General,https://www.algonquincollege.com/business/program/office-administration-general/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Business,6,105,53,60,169,80
Office Administration - General,https://www.algonquincollege.com/online/program-info/office-administration-general/,Ontario College Certificate,Full-time\nOnline,Business,6,105,53,60,169,80
Office Administration - General,https://www.algonquincollege.com/online/program-info/office-administration-general-part-time/,Ontario College Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Office Administration - Health Services,https://www.algonquincollege.com/business/program/office-administration-medical/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Office Administration - Legal,https://www.algonquincollege.com/business/program/office-administration-legal/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Online Learning Design and Delivery,https://www.algonquincollege.com/online/program-info/online-learning-design-and-delivery-part-time/,College-approved Certificate,Part-time\nOnline,Community and Social Services,6,105,53,60,169,80
Outdoor Adventure,https://www.algonquincollege.com/pembroke/program/outdoor-adventure/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Outdoor Adventure Naturalist (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/outdoor-adventure-naturalist/,Ontario College Diploma,Full-time\nOn Campus\n43 Weeks,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Bachelor of Public Safety (Honours) (Co-op),https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/,Honours Degree,Full-time\nOn Campus\n4 Years,Public Safety and Legal Studies,6.5,115,60,70,176,88
Bachelor of Public Safety (Honours) (Co-op) Pathway for Police Foundations,https://www.algonquincollege.com/ppsi/program/bachelor-of-public-safety-pathway-for-police-foundations/,Honours Degree,Full-time\nOn Campus\n4 Years,Public Safety and Legal Studies,6.5,115,60,70,176,88
Paralegal,https://www.algonquincollege.com/business/program/paralegal-graduate-certificate/,Ontario College Graduate Certificate,Full-time\nOn Campus\n42 Weeks,Public Safety and Legal Studies,6.5,115,60,70,176,88
Paramedic,https://www.algonquincollege.com/ppsi/program/paramedic/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Public Safety and Legal Studies,6,105,53,60,169,80
Pathways to Indigenous Empowerment - Preparation,https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Community and Social Services,6,105,53,60,169,80
Performing Arts,https://www.algonquincollege.com/mediaanddesign/program/performing-arts/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Media and Communications,6,105,53,60,169,80
Personal Support Worker - Accelerated,https://www.algonquincollege.com/healthandcommunity/program/personal-support-worker-accelerated/,Ontario College Certificate,Full-time\nOn Campus\n20 Weeks,Health Sciences,6,105,53,60,169,80
Personal Support Worker,https://www.algonquincollege.com/healthandcommunity/program/personal-support-worker/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Personal Support Worker,https://www.algonquincollege.com/healthandcommunity/program/personal-support-worker-perley-rideau-veterans-health-centre/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Personal Support Worker,https://www.algonquincollege.com/pembroke/program/personal-support-worker/,Ontario College Certificate,Full-time\nOn Campus\n29 Weeks,Health Sciences,6,105,53,60,169,80
Personal Support Worker,https://www.algonquincollege.com/pembroke/program/personal-support-worker-renfrew/,Ontario College Certificate,Full-time\nOn Campus\n29 Weeks,Health Sciences,6,105,53,60,169,80
Photography,https://www.algonquincollege.com/mediaanddesign/program/photography/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Arts and Design,6,105,53,60,169,80
Plumbing Techniques - Apprenticeship,https://www.algonquincollege.com/acce/program/plumbing-techniques-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Police Foundations,https://www.algonquincollege.com/ppsi/program/police-foundations/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Public Safety and Legal Studies,6,105,53,60,169,80
Police Foundations,https://www.algonquincollege.com/pembroke/program/police-foundations/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Public Safety and Legal Studies,6,105,53,60,169,80
Police Foundations,https://www.algonquincollege.com/online/program-info/police-foundations/,Ontario College Diploma,Full-time\nOnline,Public Safety and Legal Studies,6,105,53,60,169,80
Police Foundations,https://www.algonquincollege.com/online/program-info/police-foundations-part-time/,Ontario College Diploma,Part-time\nOnline,Public Safety and Legal Studies,6,105,53,60,169,80
Powerline Technician (Co-op and Non Co-op Version),https://www.algonquincollege.com/acce/program/powerline-technician/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6,105,53,60,169,80
Powerline Technician Apprenticeship,https://www.algonquincollege.com/acce/program/powerline-technician-apprenticeship/,College Certificate,Full-time\nOn Campus\n8 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Practical Nursing - Intensive,https://www.algonquincollege.com/healthandcommunity/program/practical-nursing-intensive/,Ontario College Diploma,Full-time\nOn Campus\n56 Weeks,Health Sciences,6,105,53,60,169,80
Practical Nursing,https://www.algonquincollege.com/healthandcommunity/program/practical-nursing/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Health Sciences,6,105,53,60,169,80
Practical Nursing,https://www.algonquincollege.com/healthandcommunity/program/practical-nursing-perley-rideau-veterans-health-centre,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Health Sciences,6,105,53,60,169,80
Practical Nursing,https://www.algonquincollege.com/pembroke/program/practical-nursing/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Health Sciences,6,105,53,60,169,80
Practical Nursing,https://www.algonquincollege.com/perth/program/practical-nursing/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Health Sciences,6,105,53,60,169,80
Practical Nursing for Internationally Educated Nurses,https://www.algonquincollege.com/healthandcommunity/program/practical-nursing-internationally-educated-nurses/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Health Sciences,6,105,53,60,169,80
Pre-English for Academic Purposes,https://www.algonquincollege.com/languages/program/pre-english-for-academic-purposes/,Not Applicable,Full-time\nOn Campus\n14 Weeks,Media and Communications,6.5,115,60,70,176,88
Pre-Health Sciences Pathway to Advanced Diplomas and Degrees,https://www.algonquincollege.com/healthandcommunity/program/pre-health-sciences-pathway-advanced-diplomas-degrees/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Pre-Health Sciences Pathway to Advanced Diplomas and Degrees,https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Pre-Health Sciences Pathway to Certificates and Diplomas,https://www.algonquincollege.com/healthandcommunity/program/pre-health-sciences-pathway-certificates-diplomas/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Pre-Health Sciences Pathway to Certificates and Diplomas,https://www.algonquincollege.com/pembroke/program/pre-health-science-pathway-certificates-diplomas/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Health Sciences,6,105,53,60,169,80
Pre-Service Firefighter Education and Training,https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/,Ontario College Certificate,Full-time\nOn Campus\n36 Weeks,Public Safety and Legal Studies,6,105,53,60,169,80
Professional Writing,https://www.algonquincollege.com/mediaanddesign/program/professional-writing/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Media and Communications,6,105,53,60,169,80
Project Management (Co-op and Non Co-op Version),https://www.algonquincollege.com/business/program/project-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
Project Management,https://www.algonquincollege.com/international/program/project-management-mississauga/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Business,6.5,115,60,70,176,88
Project Management Studies,https://www.algonquincollege.com/online/program-info/project-management-studies-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Property Management Foundations,https://www.algonquincollege.com/online/program-info/property-management-foundations-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Public Relations,https://www.algonquincollege.com/mediaanddesign/program/public-relations/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Media and Communications,6,105,53,60,169,80
Recreation and Leisure Services - Entry Into Level 03,https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Recreation and Leisure Services,https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Refrigeration and Air Conditioning Systems Techniques - Apprenticeship,https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-techniques-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Registered Nurse - Critical Care Nursing,https://www.algonquincollege.com/healthandcommunity/program/registered-nurse-critical-care-nursing-part-time/,Ontario College Graduate Certificate,Part-time\nOn Campus,Health Sciences,6.5,115,60,70,176,88
Registered Nurse - Perinatal Nursing,https://www.algonquincollege.com/healthandcommunity/program/registered-nurse-perinatal-nursing-part-time/,Ontario College Graduate Certificate,Part-time\nOn Campus,Health Sciences,6.5,115,60,70,176,88
Registered Nurse - Perioperative Nursing,https://www.algonquincollege.com/healthandcommunity/program/registered-nurse-perioperative-nursing-part-time/,Ontario College Graduate Certificate,Part-time\nOn Campus,Health Sciences,6.5,115,60,70,176,88
Registered Practical Nurse - Operating Room,https://www.algonquincollege.com/healthandcommunity/program/registered-practical-nurse-operating-room-part-time/,Ontario College Graduate Certificate,Part-time\nOn Campus,Health Sciences,6.5,115,60,70,176,88
Regulatory Affairs - Sciences (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/regulatory-affairs-sciences/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Environmental and Applied Sciences,6.5,115,60,70,176,88
Regulatory Affairs - Sciences (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/regulatory-affairs-sciences/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Environmental and Applied Sciences,6.5,115,60,70,176,88
Regulatory Affairs - Sciences,https://www.algonquincollege.com/online/program-info/regulatory-affairs-sciences/,Ontario College Graduate Certificate,Full-time\nOnline,Advanced Technology,6.5,115,60,70,176,88
Regulatory Affairs - Sciences,https://www.algonquincollege.com/online/program-info/regulatory-affairs-sciences-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Advanced Technology,6.5,115,60,70,176,88
Residential Air Conditioning Systems Mechanic (Apprenticeship),https://www.algonquincollege.com/acce/program/residential-ac-systems-mechanic/,College Certificate,Full-time\nOn Campus\n16 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Respiratory Therapy,https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Health Sciences,6,105,53,60,169,80
Retirement Communities Management,https://www.algonquincollege.com/hospitalityandtourism/program/retirement-communities-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Commerce (Strategic Human Resources Management) (Honours)(Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-strategic-human-resources-management-honours/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Administration - Supply Chain Management,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-administration-supply-chain-management/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Administration,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-administration/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Fundamentals,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-fundamentals/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Science (Building Science) (Honours) (Co-op),https://www.algonquincollege.com/acce/program/bachelor-of-building-science/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science (Building Science) (Honours) (Co-op) Pathway for Architectural Technician,https://www.algonquincollege.com/acce/program/bachelor-of-building-science-pathway-for-architectural-technician/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science (Building Science) (Honours) (Co-op) Pathway for Construction and Civil Engineering,https://www.algonquincollege.com/acce/program/bachelor-of-building-science-pathway-for-construction-and-civil-engineering/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science (Building Science) (Honours) (Co-op) Pathway for Mechanical Engineering,https://www.algonquincollege.com/acce/program/bachelor-of-building-science-pathway-for-mechanical-engineering/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science (Building Science)(Honours)(Co-op) Pathway for Architectural Technology,https://www.algonquincollege.com/acce/program/bachelor-of-building-science-pathway-for-architectural-technology/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science in Nursing,https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-science-in-nursing/,Degree,Full-time\nOn Campus\n4 Years,Health Sciences,6.5,115,60,70,176,88
Bachelor of Science in Nursing,https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/,Degree,Full-time\nOn Campus\n4 Years,Health Sciences,6.5,115,60,70,176,88
Science and Technology Foundations,https://www.algonquincollege.com/sat/program/science-and-technology-foundations/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Environmental and Applied Sciences,6,105,53,60,169,80
Scriptwriting,https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Media and Communications,6.5,115,60,70,176,88
Small Business Accounting,https://www.algonquincollege.com/online/program-info/small-business-accounting-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Social Media,https://www.algonquincollege.com/online/program-info/social-media-part-time/,College-approved Certificate,Part-time\nOnline,Media and Communications,6,105,53,60,169,80
Social Service Worker (Intensive),https://www.algonquincollege.com/healthandcommunity/program/social-service-worker-intensive/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Community and Social Services,6,105,53,60,169,80
Social Service Worker,https://www.algonquincollege.com/healthandcommunity/program/social-service-worker/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Community and Social Services,6,105,53,60,169,80
Social Service Worker,https://www.algonquincollege.com/pembroke/program/social-service-worker/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Community and Social Services,6,105,53,60,169,80
Sommelier,https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Sommelier,https://www.algonquincollege.com/hospitalityandtourism/program/sommelier-part-time/,Ontario College Certificate,Part-time\nOn Campus,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Sommelier,https://www.algonquincollege.com/future-students/programs/,College-approved Certificate,Part-time\nOn Campus,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Sport Business Management,https://www.algonquincollege.com/hospitalityandtourism/program/sport-business-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n42 Weeks,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Strategic Global Business Management,https://www.algonquincollege.com/business/program/strategic-global-business-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n2 Years,Business,6.5,115,60,70,176,88
Strength and Conditioning Training,https://www.algonquincollege.com/online/program-info/strength-and-conditioning-training-part-time/,College-approved Certificate,Part-time\nOnline,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
